scene,objective,predictor,target,seed,lr,final_loss,rmse_interior,optimizer_gap,settle_frac,pred_std,collapsed,failed
k3_d2.0,position+normal,cnn_large,clean,900,0.001,0.008155175484716892,0.0012395997316054326,nan,0.002373337745666504,0.934306799368128,False,False
k3_d2.0,position+normal,cnn_large,clean,900,0.0003,0.02224629372358322,0.0024003043622276786,nan,0.0006889104843139648,0.9327479892944671,False,False
k3_d2.0,position+normal,cnn_large,clean,901,0.01,0.004925123415887356,0.0006778325590495915,nan,0.001990079879760742,0.9337586619368138,False,False
k3_d2.0,position+normal,cnn_large,clean,901,0.003,0.006815591361373663,0.0017259528270104983,nan,0.0030269622802734375,0.9337396992413476,False,False
k3_d2.0,position+normal,cnn_large,clean,901,0.001,0.013108909130096436,0.0015598610614920723,nan,0.000873565673828125,0.933114745354847,False,False
k3_d2.0,position+normal,cnn_large,clean,901,0.0003,0.028312718495726585,0.003883953935548006,nan,0.001238703727722168,0.928585198838456,False,False
k3_d2.0,position+normal,cnn_large,mixed,900,0.01,0.0027485317550599575,0.0009233208780460943,nan,0.0017130374908447266,0.9326858065907226,False,False
k3_d2.0,position+normal,cnn_large,mixed,900,0.003,0.002439519390463829,0.0009437027785389722,nan,0.0007288455963134766,0.9331105030006984,False,False
k3_d2.0,position+normal,cnn_large,mixed,900,0.001,0.003785703331232071,0.0013183922209496729,nan,0.0007772445678710938,0.9325767772208481,False,False
k3_d2.0,position+normal,cnn_large,mixed,900,0.0003,0.014670220203697681,0.002799228239228671,nan,0.0004941225051879883,0.9311796524662316,False,False
k3_d2.0,position+normal,cnn_large,mixed,901,0.01,0.0026224651373922825,0.0007145100357426796,nan,0.0007317066192626953,0.9326283644478637,False,False
k3_d2.0,position+normal,cnn_large,mixed,901,0.003,0.0033337867353111506,0.0011327742389331558,nan,0.0009355545043945312,0.9325298238280566,False,False
k3_d2.0,position+normal,cnn_large,mixed,901,0.001,0.005452767014503479,0.0013105295755642507,nan,0.0008821487426757812,0.9324663630501159,False,False
k3_d2.0,position+normal,cnn_large,mixed,901,0.0003,0.02418503165245056,0.0024221676878273413,nan,0.0022385120391845703,0.9271261034106171,False,False
k3_d2.0,position+both,cnn_small,clean,900,0.01,0.0093693183735013,0.00010409258510179319,nan,0.0016086101531982422,0.9349115372373619,False,False
k3_d2.0,position+both,cnn_small,clean,900,0.003,0.017887502908706665,9.931732368894109e-05,nan,0.0007352828979492188,0.9346823214417328,False,False
k3_d2.0,position+both,cnn_small,clean,900,0.001,0.024931276217103004,0.00044392108541426605,nan,0.00022912025451660156,0.93469235029869,False,False
k3_d2.0,position+both,cnn_small,clean,900,0.0003,0.0278640016913414,0.00026699838309106284,nan,0.00018608570098876953,0.9342661903164865,False,False
k3_d2.0,position+both,cnn_small,clean,901,0.01,0.01012961845844984,7.686777927590138e-05,nan,0.0010302066802978516,0.9350627932391308,False,False
k3_d2.0,position+both,cnn_small,clean,901,0.003,0.023940112441778183,9.174095316990519e-05,nan,0.0008432865142822266,0.9344935120495103,False,False
k3_d2.0,position+both,cnn_small,clean,901,0.001,0.02642509900033474,0.00016052477357828546,nan,0.0004181861877441406,0.9342853498356882,False,False
k3_d2.0,position+both,cnn_small,clean,901,0.0003,0.03303705155849457,0.00044015252677845806,nan,0.00035774707794189453,0.932381334076895,False,False
k3_d2.0,position+both,cnn_small,mixed,900,0.01,0.0024339701049029827,6.66416132094019e-05,nan,0.0009028911590576172,0.9329283686241324,False,False
k3_d2.0,position+both,cnn_small,mixed,900,0.003,0.002081884304061532,9.757038062520196e-05,nan,0.0005154609680175781,0.9330622683436715,False,False
k3_d2.0,position+both,cnn_small,mixed,900,0.001,0.0037548320833593607,0.00020071427997012134,nan,0.00021088123321533203,0.9329839958088402,False,False
k3_d2.0,position+both,cnn_small,mixed,900,0.0003,0.004287714138627052,0.00027643184860106826,nan,0.0001308917999267578,0.9330531238448474,False,False
k3_d2.0,position+both,cnn_small,mixed,901,0.01,0.001830897992476821,2.9199058807625435e-05,nan,0.00041371583938598633,0.9330794824705306,False,False
k3_d2.0,position+both,cnn_small,mixed,901,0.003,0.002749735489487648,6.593601679244133e-05,nan,0.0005350708961486816,0.9329926437528381,False,False
k3_d2.0,position+both,cnn_small,mixed,901,0.001,0.003569383639842272,0.00021899849876858194,nan,0.0006388425827026367,0.9328885732679114,False,False
